15
0	36	0	0	0	0	0	0	0	0	0	0	0	2	0
38	35	0	0	0	0	28	0	16	0	0	0	0	3	4
0	0	0	42	0	46	0	0	0	22	0	20	0	0	0
0	0	98	0	0	0	0	53	0	0	0	0	60	0	0
0	0	0	0	0	0	0	52	0	0	0	0	0	0	0
0	0	94	0	0	85	0	0	0	75	0	0	66	0	0
0	104	0	0	0	0	0	82	0	0	0	0	0	160	0
0	0	0	107	130	0	80	79	78	0	70	155	0	0	0
0	112	0	0	0	0	0	144	0	0	0	0	0	158	0
0	0	126	0	0	135	0	0	0	149	0	0	170	0	0
0	0	0	0	0	0	0	142	0	0	0	0	0	0	0
0	0	122	0	0	0	0	181	0	0	0	0	176	0	0
0	0	0	198	0	194	0	0	0	184	0	186	0	0	0
202	201	0	0	0	0	192	0	190	0	0	0	0	221	224
0	204	0	0	0	0	0	0	0	0	0	0	0	222	0
